cap;branch;municipality;municipality_norm;province;province_norm;province_code;region;latitude;longitude;accuracy
00010;Roma Aurelia;Monteflavio;MONTEFLAVIO;Roma;ROMA;RM;Lazio;42.01355;12.78375;4
00010;Roma Aurelia;Setteville;SETTEVILLE;Roma;ROMA;RM;Lazio;42.01355;12.78375;4
00010;Roma Aurelia;Moricone;MORICONE;Roma;ROMA;RM;Lazio;42.01355;12.78375;4
00010;Roma Aurelia;Borgo Santa Maria;BORGO SANTA MARIA;Roma;ROMA;RM;Lazio;42.01355;12.78375;4
00010;Roma Aurelia;Marcellina;MARCELLINA;Roma;ROMA;RM;Lazio;42.01355;12.78375;4
00010;Roma Aurelia;Gallicano Nel Lazio;GALLICANO NEL LAZIO;Roma;ROMA;RM;Lazio;42.01355;12.78375;4
00010;Roma Aurelia;Poli;POLI;Roma;ROMA;RM;Lazio;42.01355;12.78375;4
00010;Roma Aurelia;San Gregorio Da Sassola;SAN GREGORIO DA SASSOLA;Roma;ROMA;RM;Lazio;42.01355;12.78375;4
00010;Roma Aurelia;San Polo Dei Cavalieri;SAN POLO DEI CAVALIERI;Roma;ROMA;RM;Lazio;42.01355;12.78375;4
00010;Roma Aurelia;Casape;CASAPE;Roma;ROMA;RM;Lazio;42.01355;12.78375;4
00010;Roma Aurelia;Montelibretti;MONTELIBRETTI;Roma;ROMA;RM;Lazio;42.01355;12.78375;4
00010;Roma Aurelia;Setteville Di Guidonia;SETTEVILLE DI GUIDONIA;Roma;ROMA;RM;Lazio;42.01355;12.78375;4
00010;Roma Aurelia;Sant'Angelo Romano;SANT ANGELO ROMANO;Roma;ROMA;RM;Lazio;42.01355;12.78375;4
00010;Roma Aurelia;Montorio Romano;MONTORIO ROMANO;Roma;ROMA;RM;Lazio;42.01355;12.78375;4
00011;Roma Nomentana;Bagni Di Tivol;BAGNI DI TIVOL;Roma;ROMA;RM;Lazio;42.0102;12.7501;1
00012;Roma Nomentana;Colle Verde;COLLE VERDE;Roma;ROMA;RM;Lazio;41.97778888888889;12.72392222222222;4
00012;Roma Nomentana;Montecelio;MONTECELIO;Roma;ROMA;RM;Lazio;41.97778888888889;12.72392222222222;4
00012;Roma Nomentana;La Botte;LA BOTTE;Roma;ROMA;RM;Lazio;41.97778888888889;12.72392222222222;4
00012;Roma Nomentana;Villalba;VILLALBA;Roma;ROMA;RM;Lazio;41.97778888888889;12.72392222222222;4
00012;Roma Nomentana;Villanova;VILLANOVA;Roma;ROMA;RM;Lazio;41.97778888888889;12.72392222222222;4
00012;Roma Nomentana;Guidonia;GUIDONIA;Roma;ROMA;RM;Lazio;41.97778888888889;12.72392222222222;4
00012;Roma Nomentana;Villanova Di Guidonia;VILLANOVA DI GUIDONIA;Roma;ROMA;RM;Lazio;41.97778888888889;12.72392222222222;4
00012;Roma Nomentana;Albuccione;ALBUCCIONE;Roma;ROMA;RM;Lazio;41.97778888888889;12.72392222222222;4
00012;Roma Nomentana;Guidonia Montecelio;GUIDONIA MONTECELIO;Roma;ROMA;RM;Lazio;41.97778888888889;12.72392222222222;4
00013;Roma Nomentana;Tor Lupara;TOR LUPARA;Roma;ROMA;RM;Lazio;42.005183333333335;12.639483333333333;4
00013;Roma Nomentana;Fonte Nuova;FONTE NUOVA;Roma;ROMA;RM;Lazio;42.005183333333335;12.639483333333333;4
00013;Roma Nomentana;Castelchiodato;CASTELCHIODATO;Roma;ROMA;RM;Lazio;42.005183333333335;12.639483333333333;4
00013;Roma Nomentana;Torlupara Di Mentana;TORLUPARA DI MENTANA;Roma;ROMA;RM;Lazio;42.005183333333335;12.639483333333333;4
00013;Roma Nomentana;Santa Lucia;SANTA LUCIA;Roma;ROMA;RM;Lazio;42.005183333333335;12.639483333333333;4
00013;Roma Nomentana;Mentana;MENTANA;Roma;ROMA;RM;Lazio;42.005183333333335;12.639483333333333;4
00015;Roma Nomentana;Monterotondo;MONTEROTONDO;Roma;ROMA;RM;Lazio;42.0516;12.6197;4
00015;Roma Nomentana;Monterotondo Stazione;MONTEROTONDO STAZIONE;Roma;ROMA;RM;Lazio;42.0516;12.6197;4
00017;Roma Nomentana;Nerola;NEROLA;Roma;ROMA;RM;Lazio;42.162;12.7642;4
00017;Roma Nomentana;Acquaviva;ACQUAVIVA;Roma;ROMA;RM;Lazio;42.162;12.7642;4
00018;Roma Nomentana;Cretone;CRETONE;Roma;ROMA;RM;Lazio;42.07015;12.7352;4
00018;Roma Nomentana;Palombara Sabina;PALOMBARA SABINA;Roma;ROMA;RM;Lazio;42.07015;12.7352;4
00019;Roma Nomentana;Arci;ARCI;Roma;ROMA;RM;Lazio;41.9668;12.80237142857143;4
00019;Roma Nomentana;Empolitana;EMPOLITANA;Roma;ROMA;RM;Lazio;41.9668;12.80237142857143;4
00019;Roma Nomentana;Pontelucano;PONTELUCANO;Roma;ROMA;RM;Lazio;41.9668;12.80237142857143;4
00019;Roma Nomentana;Tivoli Terme;TIVOLI TERME;Roma;ROMA;RM;Lazio;41.9668;12.80237142857143;4
00019;Roma Nomentana;Tivoli;TIVOLI;Roma;ROMA;RM;Lazio;41.9668;12.80237142857143;4
00019;Roma Nomentana;Villa Adriana;VILLA ADRIANA;Roma;ROMA;RM;Lazio;41.9668;12.80237142857143;4
00019;Roma Nomentana;Bivio San Polo;BIVIO SAN POLO;Roma;ROMA;RM;Lazio;41.9668;12.80237142857143;4
00020;Roma Aurelia;Altipiani Di Arcinazzo;ALTIPIANI DI ARCINAZZO;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Roma Aurelia;Cervara Di Roma;CERVARA DI ROMA;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Roma Aurelia;Agosta;AGOSTA;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Roma Aurelia;Madonna Della Pace;MADONNA DELLA PACE;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Roma Aurelia;Vivaro Romano;VIVARO ROMANO;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Roma Aurelia;Marano Equo;MARANO EQUO;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Roma Aurelia;Ciciliano;CICILIANO;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Roma Aurelia;Saracinesco;SARACINESCO;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Roma Aurelia;Percile;PERCILE;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Roma Aurelia;Canterano;CANTERANO;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Roma Aurelia;Mandela;MANDELA;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Roma Aurelia;Sambuci;SAMBUCI;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Roma Aurelia;Cerreto Laziale;CERRETO LAZIALE;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Roma Aurelia;Jenne;JENNE;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Roma Aurelia;Rocca Canterano;ROCCA CANTERANO;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Roma Aurelia;Vallinfreda;VALLINFREDA;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Roma Aurelia;Pisoniano;PISONIANO;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Roma Aurelia;Roccagiovine;ROCCAGIOVINE;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Roma Aurelia;Riofreddo;RIOFREDDO;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Roma Aurelia;Arcinazzo Romano;ARCINAZZO ROMANO;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Roma Aurelia;Camerata Nuova;CAMERATA NUOVA;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Roma Aurelia;Cineto Romano;CINETO ROMANO;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Roma Aurelia;Vallepietra;VALLEPIETRA;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00021;Roma Aurelia;Affile;AFFILE;Roma;ROMA;RM;Lazio;41.8844;13.0985;4
00022;Roma Nomentana;Anticoli Corrado;ANTICOLI CORRADO;Roma;ROMA;RM;Lazio;42.008;12.9905;4
00023;Roma Nomentana;Arsoli;ARSOLI;Roma;ROMA;RM;Lazio;42.0416;13.0161;4
00024;Roma Nomentana;Castel Madama;CASTEL MADAMA;Roma;ROMA;RM;Lazio;41.9735;12.8678;4
00025;Roma Aurelia;Gerano;GERANO;Roma;ROMA;RM;Lazio;41.9347;12.9903;4
00026;Roma Nomentana;Licenza;LICENZA;Roma;ROMA;RM;Lazio;42.0776;12.8976;4
00026;Roma Nomentana;Civitella;CIVITELLA;Roma;ROMA;RM;Lazio;42.0776;12.8976;4
