cap;branch
00010;Roma Aurelia
00011;Roma Nomentana
00012;Roma Nomentana
00013;Roma Nomentana
00015;Roma Nomentana
00017;Roma Nomentana
00018;Roma Nomentana
00019;Roma Nomentana
00020;Roma Aurelia
00021;Roma Aurelia
00022;Roma Nomentana
00023;Roma Nomentana
00024;Roma Nomentana
00025;Roma Aurelia
00026;Roma Nomentana
00027;Roma Nomentana
00028;Roma Aurelia
00029;Roma Nomentana
00030;Roma Aurelia
00031;Roma Aurelia
00032;Roma Aurelia
00033;Roma Aurelia
00034;Roma Aurelia
00035;Roma Aurelia
00036;Roma Aurelia
00037;Roma Aurelia
00038;Roma Aurelia
00039;Roma Aurelia
00040;Roma Aurelia
00041;Roma Aurelia
00042;Roma Aurelia
00043;Roma Aurelia
00044;Roma Aurelia
00045;Roma Aurelia
00046;Roma Aurelia
00047;Roma Aurelia
00048;Roma Aurelia
00049;Roma Aurelia
00050;Roma Aurelia
00051;Roma Aurelia
00052;Roma Aurelia
00053;Roma Aurelia
00054;Roma Aurelia
00055;Roma Aurelia
00057;Roma Aurelia
00058;Roma Aurelia
00059;Roma Aurelia
00060;Roma Nomentana
00061;Roma Nomentana
00062;Roma Nomentana
00063;Roma Nomentana
00065;Roma Nomentana
00066;Roma Nomentana
00067;Roma Nomentana
00068;Roma Nomentana
00069;Roma Nomentana
00071;Roma Aurelia
00072;Roma Aurelia
00073;Roma Aurelia
00074;Roma Aurelia
00075;Roma Aurelia
00076;Roma Aurelia
00077;Roma Aurelia
00078;Roma Aurelia
00079;Roma Aurelia
00100;Roma Aurelia
00118;Roma Aurelia
00119;Roma Aurelia
00120;Roma Aurelia
00121;Roma Aurelia
00122;Roma Aurelia
00123;Roma Nomentana
00124;Roma Aurelia
00125;Roma Aurelia
00126;Roma Aurelia
00127;Roma Aurelia
00128;Roma Aurelia
00129;Roma Aurelia
00130;Roma Nomentana
00131;Roma Nomentana
00132;Roma Nomentana
00133;Roma Nomentana
00134;Roma Aurelia
00135;Roma Nomentana
00136;Roma Aurelia
00137;Roma Nomentana
00138;Roma Nomentana
00139;Roma Nomentana
00140;Roma Nomentana
00141;Roma Nomentana
00142;Roma Aurelia
00143;Roma Aurelia
00144;Roma Aurelia
00145;Roma Aurelia
00146;Roma Aurelia
00147;Roma Aurelia
00148;Roma Aurelia
00149;Roma Aurelia
00150;Roma Aurelia
00151;Roma Aurelia
00152;Roma Aurelia
00153;Roma Aurelia
00154;Roma Aurelia
00155;Roma Nomentana
00156;Roma Nomentana
00157;Roma Nomentana
00158;Roma Nomentana
00159;Roma Nomentana
00160;Roma Nomentana
00161;Roma Nomentana
00162;Roma Nomentana
00163;Roma Aurelia
00164;Roma Aurelia
00165;Roma Aurelia
00166;Roma Aurelia
00167;Roma Aurelia
00168;Roma Aurelia
00169;Roma Aurelia
00170;Roma Nomentana
00171;Roma Nomentana
00172;Roma Nomentana
00173;Roma Aurelia
00174;Roma Aurelia
00175;Roma Aurelia
00176;Roma Nomentana
00177;Roma Nomentana
00178;Roma Aurelia
00179;Roma Aurelia
00180;Roma Aurelia
00181;Roma Aurelia
00182;Roma Aurelia
00183;Roma Aurelia
00184;Roma Aurelia
00185;Roma Nomentana
00186;Roma Aurelia
00187;Roma Aurelia
00188;Roma Nomentana
00189;Roma Nomentana
00190;Roma Nomentana
00191;Roma Nomentana
00192;Roma Aurelia
00193;Roma Aurelia
00194;Roma Aurelia
00195;Roma Aurelia
00196;Roma Nomentana
00197;Roma Nomentana
00198;Roma Nomentana
00199;Roma Nomentana
01010;Roma Nomentana
01011;Roma Nomentana
01012;Roma Nomentana
01014;Roma Nomentana
01015;Roma Nomentana
01016;Roma Nomentana
01017;Roma Nomentana
01018;Roma Nomentana
01019;Roma Nomentana
01020;Roma Nomentana
01021;Roma Nomentana
01022;Roma Nomentana
01023;Roma Nomentana
01024;Roma Nomentana
01025;Roma Nomentana
01027;Roma Nomentana
01028;Roma Nomentana
01029;Roma Nomentana
01030;Roma Nomentana
01032;Roma Nomentana
01033;Roma Nomentana
01034;Roma Nomentana
01035;Roma Nomentana
01036;Roma Nomentana
01037;Roma Nomentana
01038;Roma Nomentana
01039;Roma Nomentana
01100;Roma Nomentana
02010;Roma Nomentana
02011;Roma Nomentana
02012;Roma Nomentana
02013;Roma Nomentana
02014;Roma Nomentana
02015;Roma Nomentana
02016;Roma Nomentana
02018;Roma Nomentana
02019;Roma Nomentana
02020;Roma Nomentana
02021;Roma Nomentana
02022;Roma Nomentana
02023;Roma Nomentana
02024;Roma Nomentana
02025;Roma Nomentana
02026;Roma Nomentana
02030;Roma Nomentana
02031;Roma Nomentana
02032;Roma Nomentana
02033;Roma Nomentana
02034;Roma Nomentana
02035;Roma Nomentana
02036;Roma Nomentana
02037;Roma Nomentana
02038;Roma Nomentana
