cap;municipality;municipality_norm;province;province_norm;province_code;region;latitude;longitude;accuracy
00010;Monteflavio;MONTEFLAVIO;Roma;ROMA;RM;Lazio;42.01355;12.78375;4
00010;Setteville;SETTEVILLE;Roma;ROMA;RM;Lazio;42.01355;12.78375;4
00010;Moricone;MORICONE;Roma;ROMA;RM;Lazio;42.01355;12.78375;4
00010;Borgo Santa Maria;BORGO SANTA MARIA;Roma;ROMA;RM;Lazio;42.01355;12.78375;4
00010;Marcellina;MARCELLINA;Roma;ROMA;RM;Lazio;42.01355;12.78375;4
00010;Gallicano Nel Lazio;GALLICANO NEL LAZIO;Roma;ROMA;RM;Lazio;42.01355;12.78375;4
00010;Poli;POLI;Roma;ROMA;RM;Lazio;42.01355;12.78375;4
00010;San Gregorio Da Sassola;SAN GREGORIO DA SASSOLA;Roma;ROMA;RM;Lazio;42.01355;12.78375;4
00010;San Polo Dei Cavalieri;SAN POLO DEI CAVALIERI;Roma;ROMA;RM;Lazio;42.01355;12.78375;4
00010;Casape;CASAPE;Roma;ROMA;RM;Lazio;42.01355;12.78375;4
00010;Montelibretti;MONTELIBRETTI;Roma;ROMA;RM;Lazio;42.01355;12.78375;4
00010;Setteville Di Guidonia;SETTEVILLE DI GUIDONIA;Roma;ROMA;RM;Lazio;42.01355;12.78375;4
00010;Sant'Angelo Romano;SANT ANGELO ROMANO;Roma;ROMA;RM;Lazio;42.01355;12.78375;4
00010;Montorio Romano;MONTORIO ROMANO;Roma;ROMA;RM;Lazio;42.01355;12.78375;4
00011;Bagni Di Tivol;BAGNI DI TIVOL;Roma;ROMA;RM;Lazio;42.0102;12.7501;1
00012;Colle Verde;COLLE VERDE;Roma;ROMA;RM;Lazio;41.97778888888889;12.72392222222222;4
00012;Montecelio;MONTECELIO;Roma;ROMA;RM;Lazio;41.97778888888889;12.72392222222222;4
00012;La Botte;LA BOTTE;Roma;ROMA;RM;Lazio;41.97778888888889;12.72392222222222;4
00012;Villalba;VILLALBA;Roma;ROMA;RM;Lazio;41.97778888888889;12.72392222222222;4
00012;Villanova;VILLANOVA;Roma;ROMA;RM;Lazio;41.97778888888889;12.72392222222222;4
00012;Guidonia;GUIDONIA;Roma;ROMA;RM;Lazio;41.97778888888889;12.72392222222222;4
00012;Villanova Di Guidonia;VILLANOVA DI GUIDONIA;Roma;ROMA;RM;Lazio;41.97778888888889;12.72392222222222;4
00012;Albuccione;ALBUCCIONE;Roma;ROMA;RM;Lazio;41.97778888888889;12.72392222222222;4
00012;Guidonia Montecelio;GUIDONIA MONTECELIO;Roma;ROMA;RM;Lazio;41.97778888888889;12.72392222222222;4
00013;Tor Lupara;TOR LUPARA;Roma;ROMA;RM;Lazio;42.005183333333335;12.639483333333333;4
00013;Fonte Nuova;FONTE NUOVA;Roma;ROMA;RM;Lazio;42.005183333333335;12.639483333333333;4
00013;Castelchiodato;CASTELCHIODATO;Roma;ROMA;RM;Lazio;42.005183333333335;12.639483333333333;4
00013;Torlupara Di Mentana;TORLUPARA DI MENTANA;Roma;ROMA;RM;Lazio;42.005183333333335;12.639483333333333;4
00013;Santa Lucia;SANTA LUCIA;Roma;ROMA;RM;Lazio;42.005183333333335;12.639483333333333;4
00013;Mentana;MENTANA;Roma;ROMA;RM;Lazio;42.005183333333335;12.639483333333333;4
00015;Monterotondo;MONTEROTONDO;Roma;ROMA;RM;Lazio;42.0516;12.6197;4
00015;Monterotondo Stazione;MONTEROTONDO STAZIONE;Roma;ROMA;RM;Lazio;42.0516;12.6197;4
00017;Nerola;NEROLA;Roma;ROMA;RM;Lazio;42.162;12.7642;4
00017;Acquaviva;ACQUAVIVA;Roma;ROMA;RM;Lazio;42.162;12.7642;4
00018;Cretone;CRETONE;Roma;ROMA;RM;Lazio;42.07015;12.7352;4
00018;Palombara Sabina;PALOMBARA SABINA;Roma;ROMA;RM;Lazio;42.07015;12.7352;4
00019;Arci;ARCI;Roma;ROMA;RM;Lazio;41.9668;12.80237142857143;4
00019;Empolitana;EMPOLITANA;Roma;ROMA;RM;Lazio;41.9668;12.80237142857143;4
00019;Pontelucano;PONTELUCANO;Roma;ROMA;RM;Lazio;41.9668;12.80237142857143;4
00019;Tivoli Terme;TIVOLI TERME;Roma;ROMA;RM;Lazio;41.9668;12.80237142857143;4
00019;Tivoli;TIVOLI;Roma;ROMA;RM;Lazio;41.9668;12.80237142857143;4
00019;Villa Adriana;VILLA ADRIANA;Roma;ROMA;RM;Lazio;41.9668;12.80237142857143;4
00019;Bivio San Polo;BIVIO SAN POLO;Roma;ROMA;RM;Lazio;41.9668;12.80237142857143;4
00020;Altipiani Di Arcinazzo;ALTIPIANI DI ARCINAZZO;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Cervara Di Roma;CERVARA DI ROMA;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Agosta;AGOSTA;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Madonna Della Pace;MADONNA DELLA PACE;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Vivaro Romano;VIVARO ROMANO;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Marano Equo;MARANO EQUO;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Ciciliano;CICILIANO;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Saracinesco;SARACINESCO;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Percile;PERCILE;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Canterano;CANTERANO;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Mandela;MANDELA;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Sambuci;SAMBUCI;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Cerreto Laziale;CERRETO LAZIALE;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Jenne;JENNE;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Rocca Canterano;ROCCA CANTERANO;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Vallinfreda;VALLINFREDA;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Pisoniano;PISONIANO;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Roccagiovine;ROCCAGIOVINE;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Riofreddo;RIOFREDDO;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Arcinazzo Romano;ARCINAZZO ROMANO;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Camerata Nuova;CAMERATA NUOVA;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Cineto Romano;CINETO ROMANO;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00020;Vallepietra;VALLEPIETRA;Roma;ROMA;RM;Lazio;41.98497826086957;13.02178695652174;4
00021;Affile;AFFILE;Roma;ROMA;RM;Lazio;41.8844;13.0985;4
00022;Anticoli Corrado;ANTICOLI CORRADO;Roma;ROMA;RM;Lazio;42.008;12.9905;4
00023;Arsoli;ARSOLI;Roma;ROMA;RM;Lazio;42.0416;13.0161;4
00024;Castel Madama;CASTEL MADAMA;Roma;ROMA;RM;Lazio;41.9735;12.8678;4
00025;Gerano;GERANO;Roma;ROMA;RM;Lazio;41.9347;12.9903;4
00026;Licenza;LICENZA;Roma;ROMA;RM;Lazio;42.0776;12.8976;4
00026;Civitella;CIVITELLA;Roma;ROMA;RM;Lazio;42.0776;12.8976;4
00027;Roviano;ROVIANO;Roma;ROMA;RM;Lazio;42.0264;12.9939;4
00028;Subiaco;SUBIACO;Roma;ROMA;RM;Lazio;41.9262;13.0891;4
00029;Vicovaro;VICOVARO;Roma;ROMA;RM;Lazio;42.0192;12.9;4
00030;Gorga;GORGA;Roma;ROMA;RM;Lazio;41.820425;12.9464875;4
00030;San Cesareo;SAN CESAREO;Roma;ROMA;RM;Lazio;41.820425;12.9464875;4
00030;Labico;LABICO;Roma;ROMA;RM;Lazio;41.820425;12.9464875;4
00030;Montelanico;MONTELANICO;Roma;ROMA;RM;Lazio;41.820425;12.9464875;4
00030;Bellegra;BELLEGRA;Roma;ROMA;RM;Lazio;41.820425;12.9464875;4
00030;Guadagnolo;GUADAGNOLO;Roma;ROMA;RM;Lazio;41.820425;12.9464875;4
00030;Capranica Prenestina;CAPRANICA PRENESTINA;Roma;ROMA;RM;Lazio;41.820425;12.9464875;4
00030;San Vito Romano;SAN VITO ROMANO;Roma;ROMA;RM;Lazio;41.820425;12.9464875;4
00030;Roiate;ROIATE;Roma;ROMA;RM;Lazio;41.820425;12.9464875;4
00030;Colonna;COLONNA;Roma;ROMA;RM;Lazio;41.820425;12.9464875;4
00030;Gavignano;GAVIGNANO;Roma;ROMA;RM;Lazio;41.820425;12.9464875;4
00030;Rocca Santo Stefano;ROCCA SANTO STEFANO;Roma;ROMA;RM;Lazio;41.820425;12.9464875;4
00030;Genazzano;GENAZZANO;Roma;ROMA;RM;Lazio;41.820425;12.9464875;4
00030;Castel San Pietro Romano;CASTEL SAN PIETRO ROMANO;Roma;ROMA;RM;Lazio;41.820425;12.9464875;4
00030;Colonna Stazione;COLONNA STAZIONE;Roma;ROMA;RM;Lazio;41.820425;12.9464875;4
00030;Rocca Di Cave;ROCCA DI CAVE;Roma;ROMA;RM;Lazio;41.820425;12.9464875;4
00031;Artena;ARTENA;Roma;ROMA;RM;Lazio;41.7417;12.877433333333334;4
00031;Colubro;COLUBRO;Roma;ROMA;RM;Lazio;41.7417;12.877433333333334;4
00031;Macere;MACERE;Roma;ROMA;RM;Lazio;41.7417;12.877433333333334;4
00032;Carpineto Romano;CARPINETO ROMANO;Roma;ROMA;RM;Lazio;41.6047;13.0841;4
00033;San Bartolomeo;SAN BARTOLOMEO;Roma;ROMA;RM;Lazio;41.81545;12.929;4
00033;Cave;CAVE;Roma;ROMA;RM;Lazio;41.81545;12.929;4
00034;Colleferro Scalo;COLLEFERRO SCALO;Roma;ROMA;RM;Lazio;41.7272;13.004799999999998;3
00034;Colleferro Stazione;COLLEFERRO STAZIONE;Roma;ROMA;RM;Lazio;41.7272;13.004799999999998;3
00034;Colleferro;COLLEFERRO;Roma;ROMA;RM;Lazio;41.7272;13.004799999999998;3
00035;Olevano Romano;OLEVANO ROMANO;Roma;ROMA;RM;Lazio;41.8587;13.036;4
00036;Carchitti;CARCHITTI;Roma;ROMA;RM;Lazio;41.8098;12.8557;4
