municipality;municipality_norm;province;province_norm;province_code;region;branch;branch_candidates;confidence;caps
Altino;ALTINO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Archi;ARCHI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66044
Ari;ARI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Arielli;ARIELLI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66030
Atessa;ATESSA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66041
Bomba;BOMBA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66042
Borrello;BORRELLO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Brecciarola;BRECCIAROLA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66100
Bucchianico;BUCCHIANICO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66011
Buonanotte;BUONANOTTE;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Canosa Sannita;CANOSA SANNITA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Caporosso;CAPOROSSO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66016
Carpineto Sinello;CARPINETO SINELLO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66030
Carunchio;CARUNCHIO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
Casacanditella;CASACANDITELLA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Casalanguida;CASALANGUIDA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66031
Casalbordino;CASALBORDINO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66021
Casalbordino Stazione;CASALBORDINO STAZIONE;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66021
Casalincontrada;CASALINCONTRADA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66012
Casoli;CASOLI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66043
Castel Frentano;CASTEL FRENTANO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66032
Castelferrato;CASTELFERRATO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Castelguidone;CASTELGUIDONE;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Castiglione Messer Marino;CASTIGLIONE MESSER MARINO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66033
Celenza Sul Trigno;CELENZA SUL TRIGNO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
Chieti;CHIETI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66100
Chieti Scalo;CHIETI SCALO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66100
Chieti Stazione;CHIETI STAZIONE;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66100
Civitaluparella;CIVITALUPARELLA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Civitella Messer Raimondo;CIVITELLA MESSER RAIMONDO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Colle Sant'Antonio;COLLE SANT ANTONIO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66011
Colledimacine;COLLEDIMACINE;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Colledimezzo;COLLEDIMEZZO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Comino;COMINO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66016
Crecchio;CRECCHIO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66014
Cupello;CUPELLO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66051
Dogliola;DOGLIOLA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
Fallascoso;FALLASCOSO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66019
Fallo;FALLO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Fara Filiorum Petri;FARA FILIORUM PETRI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Fara San Martino;FARA SAN MARTINO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66015
Filetto;FILETTO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66030
Fossacesia;FOSSACESIA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66022
Fossacesia Marina;FOSSACESIA MARINA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66022
Fraine;FRAINE;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
Francavilla Al Mare;FRANCAVILLA AL MARE;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66023
Francavilla Al Mare Rione Foro;FRANCAVILLA AL MARE RIONE FORO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66023
Fresagrandinaria;FRESAGRANDINARIA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
Frisa;FRISA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66030
Furci;FURCI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
Gamberale;GAMBERALE;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Gessopalena;GESSOPALENA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Gissi;GISSI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66052
Giuliano Teatino;GIULIANO TEATINO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Giuliopoli;GIULIOPOLI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Guardiabruna;GUARDIABRUNA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
Guardiagrele;GUARDIAGRELE;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66016
Guastameroli;GUASTAMEROLI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66030
Guilmi;GUILMI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
Incoronata Di Vasto;INCORONATA DI VASTO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66054
Lama Dei Peligni;LAMA DEI PELIGNI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Lanciano;LANCIANO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66034
Lentella;LENTELLA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
Lettopalena;LETTOPALENA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Liscia;LISCIA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
Madonna Del Carmine;MADONNA DEL CARMINE;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66034
