cig;cup_count;cups
000739675D;1;I13I05000020001
00142195E2;1;J46E03000010007
00144547CF;1;I87F11000020001
0029523B23;1;G75D09000130007
00400813E2;1;D36G07000160005
0057977421;1;C61B03000140004
014514409E;1;C61B03000140004
0151370279;1;I81B06000030002
0160457D4A;1;C31H04000120005
0161309C62;1;I31B07000320008
01673093C0;1;D23B07000010001
01803269B6;1;C61B03000260001
01868029E0;1;F31B04000440001
0197760CB3;1;E49H07000120007
0203015D43;1;H27E14000010005
0219265F2F;1;F81B08000140003
0227143454;1;E33B08000290007
0229345D77;1;B79B08000140005
024383857A;1;C61B03000140004
0266452B22;1;F73J08000040001
0267259519;1;I97H08001140005
0270263414;1;I41B05000340006
0270434132;1;C94E04000050066
0270473161;1;C94E04000050056
0273045BD9;1;B61B03000280006
0291895F5B;1;C91H04000240005
02919035F8;1;C21H04000080005
0294377F91;1;B21B05000450003
0301325540;1;B81B04000140009
033651227C;1;D72J98000000001
0339878C2F;1;D31B09000120002
0379818BB7;1;F13H07000010003
0382376AA5;1;C94E04000050066
0382385215;1;C94E04000050056
0390947BA8;1;H27E14000010005
0456955331;1;G75D09000130007
0472675FBB;1;I82D10000000007
0521798952;1;B46D08000000007
0553636ADE;2;C94E04000050056 | C94E04000050066
063890376D;1;B63D05000090003
06718067D7;1;D63B05000020007
0732486291;1;B46D08000000007
0752266589;1;G67H10001090003
0858987A7C;1;B21B05000450003
0901622A00;1;F31B04000440001
1274927709;1;I83J10001420003
129313371A;1;C94E04000050066
12935807FA;1;C94E04000050056
1316485DC6;1;G75D09000130007
13429079E7;1;F31B04000440001
1566562FD7;1;C49C10000510002
17345579B5;1;F11B10000190002
1996870D3D;1;H99H10000770003
21860555A6;1;B21B05000450003
22338539CD;1;H27E14000010005
2345052E1D;1;B71B02000140006
2501179633;1;F83H98000000001
2502187607;1;F53H98000000001
265141942C;1;I83D02000040003
2699522406;1;F31B04000440001
28082690E4;1;H99H10000770003
300496820A;1;F73J08000040001
326747018B;1;D18G03000280005
33218941A6;1;B52I05000010001
3490553F71;1;I39J02000060003
3557074E4F;1;I71B02000030019
372471433A;1;E33B08000290007
3741489664;1;E13G08000120007
39851043DA;1;I71B02000030019
4003474B3F;1;H15D12000790004
4125332BA6;1;H99H05000020003
4133125AA3;1;C61B03000260001
4138252195;1;C61B03000260001
4189569DB2;1;E73H06000010001
420072431B;1;D79E12000440004
421887669B;1;C61B03000260001
4261340901;1;I41B05000340006
4261406F76;1;I41B05000340006
429311890A;1;G75D09000130007
431798953E;1;G75D09000130007
44016092A7;1;I83D02000040003
4404276B85;1;C61B03000140004
44181569A9;1;B81B04000140009
4555604B56;1;H13J01000000001
4590540970;1;F87H05000660005
4594430393;1;E71B12000250005
463198856A;1;D18G03000280005
4643546760;1;D19E97000010001
4664980F43;1;J69H12000480001
4665077F4F;1;J69H12000480001
4688255669;1;H27E14000010005
4897987ABA;1;D18G03000280005
49258067B2;1;B19J12000430003
49363347AD;1;I71B02000030019
49691017DC;1;F33H03000010001
5002056331;1;I51B08000160002
504378570C;1;H27E14000010005
5060062F3E;1;I39J02000060003
5081248A7D;1;I71B02000030019
5100197FB1;1;I71B02000030019
5164032603;1;G16B11000070001
5170054F83;1;F17H13000890001
5224189125;1;I71B02000030019
5224709E3F;1;H99H05000020003
52769504E5;1;B84B13000140001
5301428CC5;1;F81B08000140003
5313047116;1;I71B02000030019
5322520A71;1;H99H05000020003
5332929839;1;F17H13000890001
53718796C8;1;G75D09000130007
53751409D7;1;I71B02000030019
5379313D81;1;I19C12000030002
5547944438;1;F11B10000190002
556482922A;1;F17H13000890001
5574916637;1;F31B04000440001
56075833E1;1;H13J01000000001
5634005002;1;I41B05000340006
5684216B6C;1;F91B00000330001
5762791592;1;D89D14000080001
582000433C;1;H13J01000000001
5833608D99;1;H23G14000080005
584253653A;1;C79H12000120007
5864152351;1;I71B02000030019
59778673E7;1;F11B10000190002
598674958F;1;E73H06000010001
5988118F48;1;I39J02000060003
6002570576;1;D17B14000280003
6009632934;1;D17B04000080005
60145335A4;1;I71B02000030019
6044692DA0;1;J34J13000000001
605495421C;1;D17B14000280003
60549563C2;1;D17B14000280003
6057197D14;1;I19C12000030002
6104475421;1;F31B04000440001
6146069894;1;G75D09000130007
617052919E;1;I71B02000030019
6203891CCC;1;I39J02000060003
6220892A78;1;F31B04000440001
6226121595;1;B81B04000140009
62702852DF;1;B71B15000160005
6270374C4E;1;B71B15000160005
63137921FC;1;B71B15000160005
632639959B;1;I71B02000030019
6328369F4A;1;I41B05000340006
6335528319;1;B99D15000660003
6335777095;1;C61B03000140004
6338964692;1;C61B03000140004
6346254678;1;E31B13000630003
6362848446;1;F87B14000620005
6374902F89;1;H49B08000050002
6375445FA2;1;B71B15000160005
6395011206;1;D17B04000080005
64015462E0;1;I19C12000030002
6424977ABD;1;C61B03000140004
64301507A3;1;D31B09000120002
64378401A2;1;F85H11000060005
6440262055;1;B71B15000160005
6441909F76;1;E44E15001680007
646017403C;1;B71B15000160005
6465860477;1;B71B15000160005
6467504124;1;E31B13000630003
6467579F04;1;E31B13000630003
6505433523;1;B71B02000140006
6528709D17;1;F96H13000040006
65641403B0;1;E31B13000630003
6567367AAF;1;E49H07000120007
6582245069;1;E31B13000630003
66006157CE;1;B71B15000160005
6605385822;1;D17B04000080005
6612252AF5;1;D17B14000280003
66170713BB;1;D17B14000280003
6620882CA8;1;D72J98000000001
66437503F0;1;E49H07000120007
6651924D53;1;B71B15000160005
6651954617;1;B71B15000160005
6659428DD2;1;D17B04000080005
666494027B;1;B21B05000450003
6681548BD3;1;I39J02000060003
668294195E;1;C31H04000120005
6691829FF8;1;B17B16000050003
669334208E;1;B71B15000160005
6730992E4D;1;C31H04000120005
6731530A47;1;J69H12000480001
67401557DB;1;B19G16000310009
674883961F;1;H99H10000770003
6759998ECF;1;B52I05000010001
6760601070;1;H99H10000770003
67635398F1;1;J97B15000400003
6769065924;1;D17B14000280003
6775941367;1;J97B15000400003
677616081F;1;D17B14000280003
67805574A5;1;F49D16000450009
6780571034;1;F49D16000450009
6780581872;1;F49D16000450009
6796114AAE;1;E31B13000630003
682105617B;1;D37B13000300002
682119977B;1;D37B13000300002
6840034E9B;1;D37B13000300002
6841895E5A;1;B71B15000160005
6847389428;1;B11B13000160001
6862526F97;1;D18G03000280005
6869890C8F;1;D47B16000190002
687154959E;1;B11B13000160001
68767845AD;1;D58I18000040008
6885695F41;1;B11B13000160001
6892373620;1;D17B16000110008
68971425A1;1;E31B13000630003
69090990DD;1;B71B15000160005
6909264904;1;B71B15000160005
692469898E;1;B81B04000140009
6931817C56;1;C61B03000140004
693219651B;1;J69H12000480001
693374428F;1;B52I05000010001
6940107578;1;B11B13000160001
6949428168;1;B11B13000160001
6949544122;1;D37B13000300002
6950024D3A;1;E31B13000630003
69504783E4;1;F47B15000500003
695174489F;1;C61B03000140004
6954076D0B;1;B97H11001950003
6954182487;1;B11B13000160001
69556006B2;1;D17B04000080005
6960458FA2;1;D37B13000300002
69630434DB;1;E31B13000630003
696442487D;1;D37B13000300002
69771942A2;1;E31B13000630003
69882874DD;1;I83J10001420003
6993626ABD;1;B17B16000050003
7009673526;1;D37B13000300002
7022382CF0;1;D18G03000280005
7029055FAB;1;E41B06000410002
70316637DE;1;J69H12000480001
7037313E63;1;J97B15000400003
7037470FF2;1;J97B15000400003
7041949027;1;B99D15000660003
704255543C;1;B81B04000140009
7042908789;1;H27E14000010005
7049746270;1;E31B13000630003
7049777C02;1;E31B13000630003
7052147FCA;1;D63B05000020007
7059085D36;1;I97H08001140005
7068880051;1;D17B04000080005
70711387AB;1;D17B14000280003
7105402B36;1;E83B03000010003
7105952119;1;B11B13000160001
7108441714;1;C17B17000160008
7115234CD5;1;C17B17000160008
7135129EB4;1;C17B17000160008
7135146CBC;1;C17B17000160008
7135163AC4;1;C17B17000160008
7135173307;1;C17B17000160008
7138221650;1;B11B13000160001
7138579DBC;1;B11B13000160001
71490563A4;1;I57B17000150005
7151330833;1;J69H12000480001
7152073D56;1;B71B15000160005
7177843F69;1;G83G17000760004
7182490A3E;1;D72J98000000001
7183644290;1;B71B15000160005
7185673CEF;1;D47B16000190002
7186330B1C;1;D47B16000190002
71883015A3;1;C17B17000160008
719964462D;1;B21B05000450003
7201444396;1;E31B13000630003
7204536B2D;1;B81B04000140009
7204635CDF;1;B81B04000140009
7207219145;1;D17B04000080005
7209426E87;1;D72J98000000001
7219556614;1;C17B17000160008
7227420FA5;1;C17B17000160008
7227437DAD;1;C17B17000160008
7228562E0E;1;D57B16000530002
7229863FAC;1;E31B13000630003
7235125606;1;B85I17000320001
7235831CA0;1;J69H12000480001
72478288DE;1;D17B14000280003
7250157AD1;1;B11B13000160001
7260381FEC;1;D17B14000280003
7266816E41;1;D51B17001660001
