cup;cig;source_dataset
B28I17001280008;9860938F73;cup_csv.csv
D92E22000110002;9448597CE5;cup_csv.csv
C35F21000240001;B0C9317BBE;cup_csv.csv
H63H18000320002;9121542694;cup_csv.csv
B29J21000680001;A0340DDDBE;cup_csv.csv
E97H21005520001;B4E2896D25;cup_csv.csv
C57H21001050001;B2AB718E64;cup_csv.csv
D91B21005310002;931306692E;cup_csv.csv
F88B22001130002;B8B5103486;cup_csv.csv
J81B22001940006;A010694086;cup_csv.csv
C48H22000240006;ZED395B826;cup_csv.csv
C17B17000160008;7115234CD5;cup_csv.csv
E73H06000010001;ZA9117F0DF;cup_csv.csv
B17H22000070002;A06842E0EF;cup_csv.csv
J86G20000100004;A06516EF94;cup_csv.csv
B71B15000160005;Z06156A83C;cup_csv.csv
J84E21001160005;9839104D77;cup_csv.csv
B29J21000700001;B90C155F27;cup_csv.csv
E83H18000390001;81330060DF;cup_csv.csv
C94E04000050056;ZED08CD206;cup_csv.csv
B21B23000660001;B6C59C60F3;cup_csv.csv
D17B14000280003;60549563C2;cup_csv.csv
F43D21002040001;B936A2B71F;cup_csv.csv
D43H20000170001;B57CA089E8;cup_csv.csv
F37J22000010007;B2488D76CA;cup_csv.csv
J53D21001430001;9801921119;cup_csv.csv
J53D21001430001;BACBB0521C;cup_csv.csv
D97B23000220001;BA7978190E;cup_csv.csv
E71B21001570007;B63294AC11;cup_csv.csv
C63D16001790008;Z7E345D9EE;cup_csv.csv
B21B05000450003;888478113A;cup_csv.csv
F84E24000170006;B9A0DE0BA0;cup_csv.csv
J86G20000070004;A069C42F9C;cup_csv.csv
J86G20000100004;A01C9E4DD0;cup_csv.csv
C61B03000140004;ZD11FC5B0B;cup_csv.csv
H42E22000510009;954983337F;cup_csv.csv
H58I21002190008;8835102CCE;cup_csv.csv
B29J21000680001;A041E64D24;cup_csv.csv
I39J02000060003;5060062F3E;cup_csv.csv
D33D21006650008;B500BC48AB;cup_csv.csv
H99H10000770003;ZE115C1F90;cup_csv.csv
B83C16000020005;9406678C3E;cup_csv.csv
D92E22000110002;9884094466;cup_csv.csv
J53D21001430001;A02ABF9F6C;cup_csv.csv
F93G22000030001;B84281F7ED;cup_csv.csv
I16J17000570005;ZC32D83700;cup_csv.csv
D43H20000170001;A02681F143;cup_csv.csv
B18B23000950001;B77A4DF01F;cup_csv.csv
D51B17001660001;7442002653;cup_csv.csv
F87H22005460001;B1AC0FE93B;cup_csv.csv
B71B15000160005;Z1627C464D;cup_csv.csv
D37B13000300002;77947363A2;cup_csv.csv
F88I23000640003;BAB7056E94;cup_csv.csv
H99H10000770003;Z0C1AB02B7;cup_csv.csv
J86G20000070004;A064EC3BF4;cup_csv.csv
J86I22000000006;B253BE1634;cup_csv.csv
D91B18000030001;830174832C;cup_csv.csv
C35F21000240001;B0591A7DEE;cup_csv.csv
B97H21005950001;B6E4D66EA7;cup_csv.csv
F61B22001690004;B6C9351D57;cup_csv.csv
J81B22001940006;91882217D4;cup_csv.csv
F11B02000250021;Z60109FAFF;cup_csv.csv
D31B18000530002;78561869C5;cup_csv.csv
D37B13000300002;9623754D06;cup_csv.csv
F15F22000670007;9231292F22;cup_csv.csv
J86I22000000006;A02D60522C;cup_csv.csv
F11B21008370002;B41FDBE9DA;cup_csv.csv
F93E15000000001;Z1429179A3;cup_csv.csv
D73D21000360005;B8F30052BD;cup_csv.csv
I65F23000080005;9738345086;cup_csv.csv
F93G22000030001;9869772981;cup_csv.csv
B71B15000160005;Z151702C3D;cup_csv.csv
J86I22000000006;B710DF3891;cup_csv.csv
C94E04000050056;ZCD0766499;cup_csv.csv
B89H18000560001;B4494AFD72;cup_csv.csv
G11B22001380009;934645175B;cup_csv.csv
B84B13000140001;9481791D73;cup_csv.csv
D57B16000530002;7228562E0E;cup_csv.csv
C64E24000060002;B7E83226C3;cup_csv.csv
J86G20000090004;B7F623A115;cup_csv.csv
F88B22001130002;A066FEDA20;cup_csv.csv
F47B15000500003;ZA52AFBA39;cup_csv.csv
B72B22000050001;9816187DC2;cup_csv.csv
B18H25000880002;B7F8AB69B7;cup_csv.csv
F84H20001640001;9548757B8B;cup_csv.csv
E32E22000560006;B775446D37;cup_csv.csv
B45B22000200001;A0015E9583;cup_csv.csv
