cap;branch;reason
00100;Roma Aurelia;CAP non risolto da pgeocode
00129;Roma Aurelia;CAP non risolto da pgeocode
00130;Roma Nomentana;CAP non risolto da pgeocode
00140;Roma Nomentana;CAP non risolto da pgeocode
00150;Roma Aurelia;CAP non risolto da pgeocode
00160;Roma Nomentana;CAP non risolto da pgeocode
00170;Roma Nomentana;CAP non risolto da pgeocode
00180;Roma Aurelia;CAP non risolto da pgeocode
00190;Roma Nomentana;CAP non risolto da pgeocode
01029;Roma Nomentana;CAP non risolto da pgeocode
02036;Roma Nomentana;CAP non risolto da pgeocode
04028;Frosinone;CAP non risolto da pgeocode
04031;Frosinone;CAP non risolto da pgeocode
04072;Frosinone;CAP non risolto da pgeocode
05027;Perugia;CAP non risolto da pgeocode
06015;Perugia;CAP non risolto da pgeocode
07051;Sassari;CAP non risolto da pgeocode
07052;Sassari;CAP non risolto da pgeocode
09050;Cagliari;CAP non risolto da pgeocode
09051;Cagliari;CAP non risolto da pgeocode
09052;Cagliari;CAP non risolto da pgeocode
09053;Cagliari;CAP non risolto da pgeocode
09054;Cagliari;CAP non risolto da pgeocode
09055;Cagliari;CAP non risolto da pgeocode
09056;Cagliari;CAP non risolto da pgeocode
09057;Cagliari;CAP non risolto da pgeocode
09058;Cagliari;CAP non risolto da pgeocode
09059;Cagliari;CAP non risolto da pgeocode
09060;Cagliari;CAP non risolto da pgeocode
09061;Cagliari;CAP non risolto da pgeocode
09062;Cagliari;CAP non risolto da pgeocode
09063;Cagliari;CAP non risolto da pgeocode
09064;Cagliari;CAP non risolto da pgeocode
09065;Cagliari;CAP non risolto da pgeocode
09066;Cagliari;CAP non risolto da pgeocode
09067;Cagliari;CAP non risolto da pgeocode
09068;Cagliari;CAP non risolto da pgeocode
09069;Cagliari;CAP non risolto da pgeocode
09089;Sassari;CAP non risolto da pgeocode
09132;Cagliari;CAP non risolto da pgeocode
09133;Cagliari;CAP non risolto da pgeocode
10021;Torino;CAP non risolto da pgeocode
10079;Torino;CAP non risolto da pgeocode
13029;Torino;CAP non risolto da pgeocode
13834;Torino;CAP non risolto da pgeocode
13852;Torino;CAP non risolto da pgeocode
15047;Milano Sud;CAP non risolto da pgeocode
15122;Milano Sud;CAP non risolto da pgeocode
16037;Genova;CAP non risolto da pgeocode
18028;Albenga;CAP non risolto da pgeocode
19127;Lucca;CAP non risolto da pgeocode
19128;Lucca;CAP non risolto da pgeocode
19129;Lucca;CAP non risolto da pgeocode
19130;Lucca;CAP non risolto da pgeocode
20100;Milano Nord;CAP non risolto da pgeocode
20130;Milano Est;CAP non risolto da pgeocode
20140;Milano Sud;CAP non risolto da pgeocode
20150;Milano Nord;CAP non risolto da pgeocode
20160;Milano Nord;CAP non risolto da pgeocode
23041;Sondrio;CAP non risolto da pgeocode
23856;Lecco;CAP non risolto da pgeocode
24032;Bergamo;CAP non risolto da pgeocode
24085;Bergamo;CAP non risolto da pgeocode
28921;Milano Ovest;CAP non risolto da pgeocode
28923;Milano Ovest;CAP non risolto da pgeocode
28924;Milano Ovest;CAP non risolto da pgeocode
28925;Milano Ovest;CAP non risolto da pgeocode
