cig;cup_count;cups
0013917CA8;1;D79F06000100003
0017919339;1;F57H02000130001
0023690D97;1;F57H02000130001
00290916A5;1;F57H02000130001
003273883E;1;D33I06000080001
0044852509;1;F41B99000010001
0058820BC9;1;D19H05000040003
005973815B;1;F57H02000130001
0070685B18;1;J21B07000040005
007950271E;1;F31B90000010001
0092790CB7;1;F21B96000000001
0094112FA9;1;E71B04000030001
0105312A33;1;F31B91000010001
01065442E3;1;F31B07000310001
01147674B8;1;D31B09000010002
0116288BE1;1;F37H01000050001
011724841B;1;F31B02000050001
013826972E;1;D49D04000000002
0161584F51;1;I61B07000290005
01684755F6;1;B34J06000010008
0173651555;1;F11B03000350001
0173690584;1;F11B03000350001
0174338C41;1;F11B03000350001
0178573319;1;I61B07000290005
0182686540;1;B72F08000000006
018939882A;1;F81B04000040041
019412984F;1;F11B03000350001
02065599DE;1;F41B99000010001
0213147676;1;I61B07000290005
0213284784;1;F11B03000350001
0214143C61;1;I93B98000000003
0224780651;1;F81B04000120001
02350712B9;1;E81B07000190001
0235940FD4;1;F41B08000280008
0251250A0C;1;F76G08000570001
02588677CC;1;F21B03000350001
028319109B;1;I61B07000290005
0285142A9C;1;F41B99000010001
02858345AC;1;F41B99000010001
02895998A5;1;C36D08000020005
0290112FFA;1;D31B09000010002
0319527205;1;F57H02000130001
0319818229;1;F91B00000270011
0326363B41;1;F33H08000000003
0331752A66;1;F91B00000270011
03354874A0;1;F41B99000010001
034058861A;1;F57H02000130001
03474840DE;1;F57H02000130001
0372669030;1;B93B07000090003
0376236FC0;1;F57H02000130001
0382647A48;1;D31B09000010002
0395876F31;1;F31B02000080001
0398154711;1;F77H03001330001
039838340C;1;F31B91000010001
0414600ABB;1;F21B07000310001
0416251D2D;1;J11B09000190002
0429037487;1;I61B07000290005
0429752291;1;F41G08000000008
0438032370;1;J89H10000000003
0441782A07;1;C91B07000460001
045982104B;1;B51B99000010003
04689226AB;1;E63H05000030005
0471505A39;1;F31B91000010001
048119677E;1;I58I21002190003
0494294050;1;F33H08000000003
0509581789;1;C91B07000460001
0521798952;1;B46D08000000007
05274029E3;1;F37H01000050001
0528189359;1;F31B05000510001
053306397E;1;E58G10000150003
0536612A38;1;F31B07000310001
05436309A8;1;B98G07000680003
0554402300;1;F11B96000040001
0556977FF1;1;E71B03000070001
0557768CB3;1;F21B03000320171
0566161AD3;1;F11B03000350001
05723752CA;1;J13J09000520009
0579398659;1;F41B99000010001
0584068428;1;H49H10000320001
0617000C7E;1;F17H03000630021
06735853EC;1;J69H07000230001
0673887D21;1;J69H07000230001
0674115949;1;J69H07000230001
