cup;cig;source_dataset
G52E22000020002;A0531C8F94;cup_csv.csv
D12J09000400001;ZA9378525F;cup_csv.csv
C94H17000710005;ZBC33F4C64;cup_csv.csv
C79H11000700003;Z1520A07A1;cup_csv.csv
J14J22000080001;A002ABA325;cup_csv.csv
C69G15001840001;ZB32DD7CB7;cup_csv.csv
H17H21010150005;A008D573FA;cup_csv.csv
E59D16002030002;85862215B7;cup_csv.csv
F84E07000270001;89415722A4;cup_csv.csv
C79H11000700003;Z6E3240319;cup_csv.csv
F88B22001130002;B8B5103486;cup_csv.csv
D33I06000080001;Z8C06B8E00;cup_csv.csv
C69G15001840001;BA428D4DDD;cup_csv.csv
B57B15000390003;84823310FB;cup_csv.csv
E62E22000050005;B085F1E00D;cup_csv.csv
H48B22000360002;B19F0C1143;cup_csv.csv
E41D22000400005;A06FFE3703;cup_csv.csv
F61B20000490001;B5645A0408;cup_csv.csv
F37H01000050001;32236987BD;cup_csv.csv
B34C12000150004;Z821A492FA;cup_csv.csv
G61B06001160007;B4DA65E76A;cup_csv.csv
H53B11000320003;ZED23928AB;cup_csv.csv
C79H11000700003;ZC5234AB90;cup_csv.csv
F72F22001080004;B0387FBEA2;cup_csv.csv
E59D16002030002;Z28266D596;cup_csv.csv
F32E10000080008;ZD02489ED9;cup_csv.csv
J94E13000460005;86079912E4;cup_csv.csv
F22C16000620001;Z4D2AA1EA1;cup_csv.csv
J33D19000360002;8989184D4B;cup_csv.csv
C79H11000700003;Z403628A94;cup_csv.csv
F70J22000020001;9511147EC9;cup_csv.csv
D33I06000080001;ZB0203B674;cup_csv.csv
H31B21004800001;A0180678D7;cup_csv.csv
B51B99000010003;874747658D;cup_csv.csv
F37J22000010007;B2488D76CA;cup_csv.csv
E61B21013020005;B930112C68;cup_csv.csv
G25B22000120001;A0438E7DF3;cup_csv.csv
B44D20000040001;BADEEFE7C1;cup_csv.csv
C41B03000140003;ZE22B23D2F;cup_csv.csv
I81D22000000006;B4FB0219B0;cup_csv.csv
D67H24007320001;B840FEBED1;cup_csv.csv
J69H07000230001;06735853EC;cup_csv.csv
J37H19002880001;81368114DA;cup_csv.csv
F43J13000000003;79846906A1;cup_csv.csv
F32E10000080008;Z09255855B;cup_csv.csv
I41B21003430008;B6C142C112;cup_csv.csv
E38B22001630005;B3275DEAEA;cup_csv.csv
D12J09000400001;8205095298;cup_csv.csv
B44D20000040001;BB0163BD2E;cup_csv.csv
I87H25000530003;B71D8EFA9D;cup_csv.csv
H17H21010150005;A03D01C39F;cup_csv.csv
C79G14000990001;ZF82385EB7;cup_csv.csv
F47H24000090001;B9D2D49D52;cup_csv.csv
G52E22000020002;94655914CC;cup_csv.csv
F91B00000270011;4662089D89;cup_csv.csv
G31B05000020002;Z551FF88BF;cup_csv.csv
C79H11000700003;BA60279B02;cup_csv.csv
E42J25000030001;A06FC012BE;cup_csv.csv
F31B02000050001;2262835682;cup_csv.csv
F31B07000310001;YA33463257;cup_csv.csv
H48B22000360002;B1634C9D50;cup_csv.csv
C71B03000380003;B96F8E661D;cup_csv.csv
C69G15001840001;7921514027;cup_csv.csv
F93G22000030001;B84281F7ED;cup_csv.csv
F32E10000080008;Z0B24D4FC5;cup_csv.csv
B94E21012780001;9558649EAD;cup_csv.csv
C79H11000700003;Z841DDCABD;cup_csv.csv
D12J09000400001;Z642AD8B7C;cup_csv.csv
F32E10000080008;ZEF2014730;cup_csv.csv
D33I06000080001;Z96048B66E;cup_csv.csv
C79H11000700003;Z551F946A9;cup_csv.csv
C68F17000040003;B630579D91;cup_csv.csv
D12J09000400001;ZC02CD4308;cup_csv.csv
H17H21010150005;9336525829;cup_csv.csv
