score;cup;title;category;region;province;municipality;value_eur;client;phase;status;source_url
78;J61H03000190001;LINEA AV/AC BATTIPAGLIA PAOLA REGGIO CALABRIA;Altro;CAMPANIA;TUTTE;TUTTI;22000000000.0;RETE FERROVIARIA ITALIANA S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J61H03000190001
78;C41C23002750005;REALIZZAZIONE DEL COLLEGAMENTO STABILE TRA LA SICILIA E LA CALABRIA;Altro;CALABRIA;REGGIO DI CALABRIA;SEMINARA;13532000000.0;STRETTO DI MESSINA S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/C41C23002750005
78;C11J05000030001;LINEA AV/AC TORINO LIONE;Altro;TUTTE;TUTTE;TUTTI;11000000000.0;TUNNEL EURALPIN LYON TURIN;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/C11J05000030001
78;B61C03000030001;LINEA FERROVIARIA AOSTA MARTIGNY;Altro;VALLE D'AOSTA;AOSTA;TUTTI;7842467380.0;REGIONE AUTONOMA DELLA VALLE D'AOSTA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/B61C03000030001
78;F41H91000000008;LINEA AV/AC TORINO-MILANO-NAPOLI;Altro;LOMBARDIA;TUTTE;TUTTI;6878000000.0;RETE FERROVIARIA ITALIANA S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F41H91000000008
78;B81G09000010001;MALTESE SPA;Altro;CAMPANIA;CASERTA;PASTORANO;6714301006.0;MINISTERO DELLE IMPRESE E DEL MADE IN ITALY;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/B81G09000010001
78;J53G05000090007;REGIONE CALABRIA;Altro;CALABRIA;TUTTE;TUTTI;5385000000.0;REGIONE CALABRIA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J53G05000090007
78;J71J20000110008;AVR SALERNO-REGGIO CALABRIA;Altro;CAMPANIA;TUTTE;TUTTI;5000000000.0;RETE FERROVIARIA ITALIANA S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J71J20000110008
78;C71F20000020005;LINEA 2 METROPOLITANA DI TORINO;Altro;PIEMONTE;TORINO;BEINASCO;4926274272.0;COMUNE DI TORINO - TORINO -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/C71F20000020005
78;F81H92000000008;LINEA AV AC GENOVA MILANO;Altro;PIEMONTE;TUTTE;TUTTI;4719000000.0;RETE FERROVIARIA ITALIANA S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F81H92000000008
78;B59H10000610007;TRASPORTO PUBBLICO LOCALE E SERVIZI CONNESSI E COMPLEMENTARI;Altro;LOMBARDIA;MILANO;TUTTI;4703652000.0;COMUNE DI MILANO - MI -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/B59H10000610007
