score;cup;title;category;region;province;municipality;value_eur;client;phase;status;source_url
100;H62E02000010006;REALIZZAZIONE DELLA RETE IDRICAINTERNA DEL COMUNE E DELLE SUE FRAZIONI;Ambiente / rifiuti / depurazione;SICILIA;MESSINA;FONDACHELLI-FANTINA;18500000000.0;COMUNE DI FONDACHELLI-FANTINA - MESSINA -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/H62E02000010006
100;C82E11000070008;MONTE MAGNOLA IMPIANTI SRL;Residenziale pubblico / ERS;ABRUZZO;L'AQUILA;OVINDOLI;6115450000.0;REGIONE ABRUZZO;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/C82E11000070008
100;E19D09000160006;PAR FAS 2007/2013. RECUPERO URBANO DELLE AREE RICOMPRESE TRA VIA RUBATTO, VIA MATTEOTTI, VIA DELLE CASELLE E PARCO ROCCA CON REALIZZAZIONE NUOVO TEATRO E PARCHEGGIO INTERRATO (SUBAMBITO A E SUBAMBITO B);Cultura / centri civici;LIGURIA;SAVONA;LOANO;5167221000.0;COMUNE DI LOANO - SAVONA -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/E19D09000160006
100;B21D24000260005;SERVIZIO DI GESTIONE DEL SISTEMA ACQUEDOTTISTICO DELLA GRANDE ADDUZIONE PRIMARIA DI INTERESSE REGIONALE;Scuole / formazione;CAMPANIA;TUTTE;TUTTI;4923770348.0;REGIONE CAMPANIA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/B21D24000260005
100;I24E03000230005;Lavori di adeguamento e di estensione del sistema fognario comunale;Ambiente / rifiuti / depurazione;LIGURIA;GENOVA;LAVAGNA;3460261000.0;COMUNE DI LAVAGNA - GE -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/I24E03000230005
100;H49C11000070009;COOPERATIVA CONSORZIO PER L'EDILIZIA RESIDENZIALE VENETA;Residenziale pubblico / ERS;VENETO;TREVISO;TREVISO;3124685000.0;REGIONE VENETO;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/H49C11000070009
100;J12F11000410007;FLAG DELLO STRETTO;Scuole / formazione;CALABRIA;REGGIO DI CALABRIA;BAGNARA CALABRA;2925267000.0;REGIONE CALABRIA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J12F11000410007
100;H81B08002150005;SISTEMA DELLE TANGENZIALI VENETE A PEDAGGIO;Infrastrutture / parcheggi;VENETO;PADOVA;VILLAFRANCA PADOVANA;2605600000.0;REGIONE VENETO;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/H81B08002150005
100;H51B03000050009;SUPERSTRADA PEDEMONTANA VENETA;Infrastrutture / parcheggi;VENETO;TUTTE;TUTTI;1989688000.0;REGIONE VENETO;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/H51B03000050009
100;J42B08000040004;SERVIZIO LAVORI PUBBLICI;Ambiente / rifiuti / depurazione;LAZIO;ROMA;CASTELNUOVO DI PORTO;1632050000.0;COMUNE DI CASTELNUOVO DI PORTO - RM -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/J42B08000040004
100;H68F08000070001;RIQUALIFICAZIONE DELL'AREA ARCHEOLOGICA DI CAPO GRAZIANO DI FILICUDI;Riqualificazione urbana;SICILIA;MESSINA;LIPARI;1620000000.0;COMUNE DI LIPARI - MESSINA -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/H68F08000070001
100;B33F05001460008;COMIS ALFIO;Residenziale pubblico / ERS;SICILIA;SIRACUSA;SIRACUSA;1373117000.0;COMUNE DI SIRACUSA - SIRACUSA -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/B33F05001460008
100;E81B08000060009;AUTOSTRADA REGIONALE CISPADANA;Infrastrutture / parcheggi;EMILIA-ROMAGNA;REGGIO NELL'EMILIA;TUTTI;1308000000.0;REGIONE EMILIA ROMAGNA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/E81B08000060009
