primary_segment;count;total_value_eur;avg_score
Edilizia;303702;420246825956.0;71.37
Lavori pubblici strade;107343;181301290236.0;65.97
Impiantisti sottoservizi;81299;161532552871.0;66.89
Completamento e finitura edifici;8477;17486559342.0;65.91
Impiantisti;3390;5747949981.0;56.34
Altro;1980;6456418385.0;47.22
Industria;1942;4918861295.0;58.98
Demolizioni;378;676283783.0;53.96
Verde;274;749846801.0;53.82
Agricoltura / silvicoltura;175;401649367.0;53.55
Bonifiche e gestione rifiuti;42;108363829.0;50.31
