score;cup;title;category;region;province;municipality;value_eur;client;phase;status;source_url
78;J84E21001320008;LINEA ROMA - PESCARA;Altro;LAZIO;TUTTE;TUTTI;3320000000.0;RETE FERROVIARIA ITALIANA S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J84E21001320008
78;E81I09000020002;LINEA D, METROPOLITANA DI ROMA;Altro;LAZIO;ROMA;ROMA;3178800000.0;soggetto privato;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/E81I09000020002
78;E51I04000010007;LINEA C, METROPOLITANA DI ROMA;Altro;LAZIO;ROMA;ROMA;3047424106.0;soggetto privato;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/E51I04000010007
78;J81H02000000001;LINEA PONTREMOLESE;Altro;TOSCANA;TUTTE;TUTTI;2194000000.0;RETE FERROVIARIA ITALIANA S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J81H02000000001
78;J31J05000030001;LINEA ORTE FALCONARA;Altro;UMBRIA;TUTTE;TUTTI;1868000000.0;RETE FERROVIARIA ITALIANA S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J31J05000030001
78;J97B03000120009;costruzione, arredamento di albergo il loc. assisi- I e II stralcio;Altro;UMBRIA;PERUGIA;TUTTI;1570000000.0;AMMINISTRAZIONE PROVINCIALE DI PERUGIA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J97B03000120009
78;J31H03000180008;NODO DI ROMA;Altro;LAZIO;TUTTE;TUTTI;1392000000.0;RETE FERROVIARIA ITALIANA S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J31H03000180008
78;J91C04000000AA8;LINEA AV/AC TORINO-MILANO-NAPOLI;Altro;TOSCANA;FIRENZE;TUTTI;1310224478.0;RETE FERROVIARIA ITALIANA S.P.A.;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/J91C04000000AA8
78;J91C04000000008;LINEA AV/AC TORINO-MILANO-NAPOLI;Altro;TOSCANA;FIRENZE;FIRENZE;1235985000.0;RETE FERROVIARIA ITALIANA S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J91C04000000008
78;J31H96000000021;LINEA AVEZZANO-GUIDONIA/AVEZZANO-PESCARA;Altro;LAZIO;TUTTE;TUTTI;1184000000.0;RETE FERROVIARIA ITALIANA S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J31H96000000021
78;J89I18000090004;DIPARTIMENTO MOBILITA' SOSTENIBILE E TRASPORTI ROMA CAPITALE;Altro;LAZIO;ROMA;ROMA;980839112.0;ROMA CAPITALE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J89I18000090004
78;J91H92000040031;LINEE DEL COMPARTIMENTO DI NAPOLI;Altro;LAZIO;TUTTE;TUTTI;925156114.0;RETE FERROVIARIA ITALIANA S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J91H92000040031
78;J91H92000040181;Miglioramenti Infrastrutturali (Potenziamento) - Compartimento di FIRENZE;Altro;LAZIO;TUTTE;TUTTI;911304494.0;RETE FERROVIARIA ITALIANA S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J91H92000040181
78;J31H96000000031;LINEA FERROVIARIA ROMA RIETI;Altro;UMBRIA;TUTTE;TUTTI;792200000.0;RETE FERROVIARIA ITALIANA S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J31H96000000031
78;E84D19000070001;"METROPOLITANA DI ROMA LINEA A; POTENZIAMENTO ED ADEGUAMENTO FUNZIONALE; ALTRI STRALCI";Altro;LAZIO;ROMA;ROMA;656674600.0;soggetto privato;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/E84D19000070001
78;J81I91000000005;LINEA A, METROPOLITANA DI ROMA;Altro;LAZIO;ROMA;ROMA;590374174.0;ROMA CAPITALE;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/J81I91000000005
78;E84D19000080001;"METROPOLITANA DI ROMA LINEA B ; POTENZIAMENTO ED ADEGUAMENTO FUNZIONALE ; ALTRI STRALCI";Altro;LAZIO;ROMA;ROMA;574797900.0;soggetto privato;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/E84D19000080001
78;J21J05000000001;LINEA ANCONA-ORTE;Altro;UMBRIA;TUTTE;TUTTI;573000000.0;RETE FERROVIARIA ITALIANA S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J21J05000000001
