score;cup;title;category;region;province;municipality;value_eur;client;phase;status;source_url
100;J42B08000040004;SERVIZIO LAVORI PUBBLICI;Ambiente / rifiuti / depurazione;LAZIO;ROMA;CASTELNUOVO DI PORTO;1632050000.0;COMUNE DI CASTELNUOVO DI PORTO - RM -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/J42B08000040004
100;F91B21006390001;CORRIDOIO DI TRASPORTO RAPIDO DI MASSA OSTIA CENTRO - FIUMICINO CENTRO - AEROPORTO - FIERA DI ROMA;Infrastrutture / parcheggi;LAZIO;ROMA;ROMA;627436306.0;CITTA' METROPOLITANA DI ROMA CAPITALE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F91B21006390001
100;D51B06000560008;OSPEDALE NUOVO SANTA CHIARA IN CISANELLO;Sanità / RSA;TOSCANA;PISA;PISA;518716073.0;AZIENDA OSPEDALIERA PISANA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/D51B06000560008
100;E19J11000260003;STRADE REGIONAL E PROVINCIALI DELLA PROVINCIA DI PISA;Infrastrutture / parcheggi;TOSCANA;PISA;TUTTI;477236000.0;AMMINISTRAZIONE PROVINCIALE DI PISA;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/E19J11000260003
100;F41B10000590003;TANGENZIALE S.S. N. 7 APPIA;Infrastrutture / parcheggi;LAZIO;ROMA;ARICCIA;450000000.0;REGIONE LAZIO;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F41B10000590003
100;D71B17002330003;CICLOVIA TIRRENICA;Infrastrutture / parcheggi;LAZIO;ROMA;TUTTI;424885835.0;REGIONE TOSCANA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/D71B17002330003
100;F92F08000010004;SERVIZIO DI MANUTENZIONE DEL VERDE PUBBLICO;Riqualificazione urbana;TOSCANA;LIVORNO;PORTOFERRAIO;380000000.0;COMUNE DI PORTOFERRAIO - LI -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/F92F08000010004
100;I92E09000190007;MASTRI BIRRAI SOC. COOOP. A.R.L.;Scuole / formazione;UMBRIA;PERUGIA;GIANO DELL'UMBRIA;376215000.0;REGIONE UMBRIA;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/I92E09000190007
100;F52F08000040003;RETE DI MONITORAGGIO QUALITÀ DELL'ARIA;Ambiente / rifiuti / depurazione;MARCHE;MACERATA;TUTTI;340950000.0;AMMINISTRAZIONE PROVINCIALE DI MACERATA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F52F08000040003
100;H11E15000180005;SOTTOATTRAVERSAMENTO TRAMVIARIO;Sanità / RSA;TOSCANA;FIRENZE;FIRENZE;304370000.0;COMUNE DI FIRENZE - FI -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/H11E15000180005
