score;cup;title;category;region;province;municipality;value_eur;client;phase;status;source_url
100;J26J00000000001;LAVORI CONSOLIDAMENTO DISSESTO IDROGEOLOGICO FRAZIONE PIEDICOLLE;Ambiente / rifiuti / depurazione;UMBRIA;PERUGIA;COLLAZZONE;50000000.0;COMUNE DI COLLAZZONE - PERUGIA -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J26J00000000001
100;F51B16000460001;S.S. N. 398 VIA VAL DI CORNIA;Infrastrutture / parcheggi;TOSCANA;PISA;TUTTI;50000000.0;ANAS S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F51B16000460001
100;H89I06000010002;PALAZZO COMUNALE/CONVENTO DEI CARMELITANI;Riqualificazione urbana;LAZIO;LATINA;FORMIA;50000000.0;COMUNE DI FORMIA - LT -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/H89I06000010002
100;H88B25000220001;EFFICIENTAMENTO DEI SISTEMI DI ADDUZIONE PRINCIPALI DEL COMPRENSORIO IRRIGUO DI ROMA MEDIANTE L'OTTIMIZZAZIONE DELL'APPROVVIGIONAMENTO DELLA RISORSA IDRICA CON CONDOTTE TUBATE AD ALTA EFFICIENZA E TRASFORMAZIONE DEI CANALI A CIELO APERTO - CANALI A E F;Scuole / formazione;LAZIO;ROMA;ROMA;50000000.0;CONSORZIO DI BONIFICA LITORALE NORD;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/H88B25000220001
100;C86J23000050001;INAF -IAPS INAF - ISTITUTO DI ASTROFISICA E PLANETOLOGIA SPAZIALI;Scuole / formazione;LAZIO;ROMA;ROMA;50000000.0;ISTITUTO NAZIONALE DI ASTROFISICA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/C86J23000050001
100;C91B22001950001;SR 207 NETTUNENSE;Infrastrutture / parcheggi;LAZIO;ROMA;NETTUNO;50000000.0;AZIENDA STRADE LAZIO - ASTRAL S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/C91B22001950001
100;D88C22000710001;REALIZZAZIONE NUOVO POLO ADDESTRATIVO E LOGISTICO DELLARMA DEI CARABINIERI, RIQUALIFICANDO L'IMMOBILE EX IFO DI ROMA, VIA DELLE MESSI D'ORO;Residenziale pubblico / ERS;LAZIO;ROMA;ROMA;50000000.0;MINISTERO DELLA DIFESA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/D88C22000710001
100;F34F05000010002;SISTEMAZIONE IDRAULICO FORESTALE MANUTENZIONE SENTIERISTICA;Ambiente / rifiuti / depurazione;TOSCANA;GROSSETO;SANTA FIORA;50000000.0;COMUNITA' MONTANA DEL MONTE AMIATA;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/F34F05000010002
100;C79G14000990001;SITO SIDERURGICO DI PIOMBINO;Ambiente / rifiuti / depurazione;TOSCANA;LIVORNO;PIOMBINO;50000000.0;soggetto privato;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/C79G14000990001
100;F88C23000290006;INTERVENTO RECOVERY ART EX CASERMA 8° CERIMANT SITA A ROMA  TOR SAPIENZA;Riqualificazione urbana;LAZIO;ROMA;ROMA;50000000.0;MINISTERO DELLA CULTURA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F88C23000290006
100;J34E06000010002;completamento serbatoio idrico aringo e miglioramento rete;Ambiente / rifiuti / depurazione;LAZIO;RIETI;COLLALTO SABINO;50000000.0;COMUNE DI COLLALTO SABINO - RIETI -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J34E06000010002
100;D87H05000360003;Consolidamento strada di accesso al capoluogo - tratto tra il 2° ed il 3° tornante;Infrastrutture / parcheggi;MARCHE;PESARO E URBINO;ISOLA DEL PIANO;50000000.0;COMUNE DI ISOLA DEL PIANO - PESARO E URBINO -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/D87H05000360003
100;E88I04000010006;UFFICIO TECNICO;Riqualificazione urbana;LAZIO;ROMA;CAPRANICA PRENESTINA;50000000.0;COMUNE DI CAPRANICA PRENESTINA - ROMA -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/E88I04000010006
100;F41B21008440001;S.S. 210 - AMANDOLA  SERVIGLIANO - LAVORI DI ADEGUAMENTO E/O MIGLIORAMENTO TECNICO FUNZIONALE DELLA SEZIONE STRADALE IN T.S. E POTENZIAMENTO DELLE INTERSEZIONI - STRALCIO DI COMPLETAMENTO;Infrastrutture / parcheggi;MARCHE;FERMO;AMANDOLA;50000000.0;ANAS S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F41B21008440001
100;I41B21003790005;VARIANTE SUD OVEST DELLA CITTÀ DI TERNI;Infrastrutture / parcheggi;UMBRIA;TERNI;TERNI;50000000.0;REGIONE UMBRIA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/I41B21003790005
100;F91B21005170001;PEDEMONTANA DELLE MARCHE - TRATTO FABRIANO EST (SS 76 CAMPO DELL'OLMO) - SASSOFERRATO (SP16 BERBENTINA). PRIMO STRALCIO: FABRIANO EST - FABRIANO OVEST;Scuole / formazione;MARCHE;ANCONA;FABRIANO;50000000.0;ANAS S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F91B21005170001
