score;cup;title;category;region;province;municipality;value_eur;client;source_url
100;J82F22001280005;CONCESSIONE DEL POLO IMPIANTISTICO RELATIVO ALLA PROGETTAZIONE, AUTORIZZAZIONE COSTRUZIONE E GESTIONE DI UN IMPIANTO DI TERMOVALORIZZAZIONE E DELLIMPIANTISTICA ANCILLARE DEPUTATA ALLA GESTIONE DEI RIFIUTI RESIDUI DECADENTI DAL TRATTAMENTO TERMICO,;Ambiente / rifiuti / depurazione;LAZIO;ROMA;ROMA;7500000000.0;ROMA CAPITALE;https://www.opencup.gov.it/portale/progetto/-/cup/J82F22001280005
100;J39J20001310001;INTERVENTI MESSA IN SICUREZZA E L'AMMODERNAMENTO DELLE TRATTE AUTOSTRADALI A24 ED A25.;Infrastrutture / parcheggi;LAZIO;ROMA;TIVOLI;3190000000.0;COMMISSARIO STRAORDINARIO AUTOSTRADE A24 A25;https://www.opencup.gov.it/portale/progetto/-/cup/J39J20001310001
100;F81B13000800001;COLLEGAMENTO AUTOSTRADALE DA TOR DE' CENCI ALLA A 1 AUTOSTRADA MILANO NAPOLI;Infrastrutture / parcheggi;LAZIO;ROMA;ROMA;1909000000.0;ANAS S.P.A.;https://www.opencup.gov.it/portale/progetto/-/cup/F81B13000800001
100;H81B96000000008;A 1 AUTOSTRADA MILANO NAPOLI;Infrastrutture / parcheggi;TOSCANA;TUTTE;TUTTI;1653424645.0;AUTOSTRADE PER L'ITALIA S.P.A.;https://www.opencup.gov.it/portale/progetto/-/cup/H81B96000000008
100;J42B08000040004;SERVIZIO LAVORI PUBBLICI;Ambiente / rifiuti / depurazione;LAZIO;ROMA;CASTELNUOVO DI PORTO;1632050000.0;COMUNE DI CASTELNUOVO DI PORTO - RM -;https://www.opencup.gov.it/portale/progetto/-/cup/J42B08000040004
100;F82C01000010001;E 78 GROSSETO - FANO;Infrastrutture / parcheggi;MARCHE;PESARO E URBINO;FERMIGNANO;1591255000.0;ANAS S.P.A.;https://www.opencup.gov.it/portale/progetto/-/cup/F82C01000010001
100;B51B06000390001;COLLEGAMENTO AUTOSTRADALE ROMA (TOR DE' CENCI) - LATINA (BORGO PIAVE);Scuole / formazione;LAZIO;LATINA;LATINA;1468659493.0;AUTOSTRADE DEL LAZIO S.P.A.;https://www.opencup.gov.it/portale/progetto/-/cup/B51B06000390001
100;F12C03000050011;SS.SS. NN. 77 DELLA VAL DI CHIENTI, 3, 16, 78, INTERVALLIVA DI TOLENTINO - SAN SEVERINO E INTERVALLIVA DI MACERATA;Infrastrutture / parcheggi;MARCHE;TUTTE;TUTTI;1452820000.0;QUADRILATERO MARCHE-UMBRIA S.P.A.;https://www.opencup.gov.it/portale/progetto/-/cup/F12C03000050011
100;I13F24000130001;CLUSTER SARDO HVDC FIUMESANTO  MONTALTO (SAPEI 2) E RINFORZI RETE 220 KV SARDEGNA;Sanità / RSA;LAZIO;VITERBO;MONTALTO DI CASTRO;1420000000.0;TERNA RETE ITALIA;https://www.opencup.gov.it/portale/progetto/-/cup/I13F24000130001
100;E85F24000370005;COSTRUZIONE NUOVO OSPEDALE POLICLINICO UMBERTO I;Sanità / RSA;LAZIO;ROMA;ROMA;1000000000.0;AZIENDA POLICLINICO UMBERTO I - ROMA;https://www.opencup.gov.it/portale/progetto/-/cup/E85F24000370005
100;H67F07000430007;AA 1, 8, 10, 11, 12, 14, 16, 23 E 27 IN CONCESSIONE;Scuole / formazione;TOSCANA;LUCCA;ALTOPASCIO;940826000.0;AUTOSTRADE PER L'ITALIA S.P.A.;https://www.opencup.gov.it/portale/progetto/-/cup/H67F07000430007
100;J41B25000570001;REALIZZAZIONE C.D. VARIANTE DI ROVIANO SULLA AUTOSTRADA A24;Infrastrutture / parcheggi;LAZIO;ROMA;CINETO ROMANO;935000000.0;COMMISSARIO STRAORDINARIO AUTOSTRADE A24 A25;https://www.opencup.gov.it/portale/progetto/-/cup/J41B25000570001
100;F12C03000050021;S.S. 76, S.S. 318, STRADA PEDEMONTANA DELLE MARCHE;Infrastrutture / parcheggi;MARCHE;TUTTE;TUTTI;847030000.0;QUADRILATERO MARCHE-UMBRIA S.P.A.;https://www.opencup.gov.it/portale/progetto/-/cup/F12C03000050021
100;F24E23000220001;SGC GROSSETO-FANO (E78)  TRATTO SELCI LAMA (E45)  SANTO STEFANO DI GAIFA  ADEGUAMENTO A DUE CORSIE DEL TRATTO URBANIA  SANTO STEFANO DI GAIFA (LOTTI 8, 9 E 10);Infrastrutture / parcheggi;MARCHE;PESARO E URBINO;URBANIA;776000000.0;ANAS S.P.A.;https://www.opencup.gov.it/portale/progetto/-/cup/F24E23000220001
100;B21B06000520001;COLLEGAMENTO AUTOSTRADALE CISTERNA VALMONTONE;Scuole / formazione;LAZIO;ROMA;ARTENA;665607300.0;AZIENDA STRADE LAZIO - ASTRAL S.P.A.;https://www.opencup.gov.it/portale/progetto/-/cup/B21B06000520001
100;H66G05000250007;A 14 AUTOSTRADA BOLOGNA TARANTO;Infrastrutture / parcheggi;MARCHE;ANCONA;CHIARAVALLE;657975000.0;AUTOSTRADE PER L'ITALIA S.P.A.;https://www.opencup.gov.it/portale/progetto/-/cup/H66G05000250007
100;J81I05000060002;LINEA B1, METROPOLITANA DI ROMA;Riqualificazione urbana;LAZIO;ROMA;ROMA;649899490.0;ROMA CAPITALE;https://www.opencup.gov.it/portale/progetto/-/cup/J81I05000060002
